"Population"	"Units"	"Date"	"Sex"	"Ethnic Grou"	"region"	"Age"	"value type"	"value"	"flag"
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"West Midlands"	"Age 60 to 64"	"number"	158521	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"West Midlands"	"Age 65 to 69"	"number"	134803	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"West Midlands"	"Age 70 to 74"	"number"	110257	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"West Midlands"	"Age 75 to 79"	"number"	92635	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"West Midlands"	"Age 80 to 84"	"number"	75876	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"West Midlands"	"Age 85 and over"	"number"	81600	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"East"	"Age 0 to 4"	"number"	147519	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"East"	"Age 5 to 7"	"number"	82609	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"East"	"Age 8 to 9"	"number"	53215	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"East"	"Age 10 to 14"	"number"	147148	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"East"	"Age 15"	"number"	31924	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"East"	"Age 16 to 17"	"number"	63560	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"East"	"Age 18 to 19"	"number"	58522	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"East"	"Age 20 to 24"	"number"	151652	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"East"	"Age 25 to 29"	"number"	157335	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"East"	"Age 30 to 34"	"number"	156653	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"East"	"Age 35 to 39"	"number"	172032	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"East"	"Age 40 to 44"	"number"	198403	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"East"	"Age 45 to 49"	"number"	203921	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"East"	"Age 50 to 54"	"number"	179307	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"East"	"Age 55 to 59"	"number"	164240	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"East"	"Age 60 to 64"	"number"	184643	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"East"	"Age 65 to 69"	"number"	146446	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"East"	"Age 70 to 74"	"number"	120292	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"East"	"Age 75 to 79"	"number"	105084	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"East"	"Age 80 to 84"	"number"	86290	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"East"	"Age 85 and over"	"number"	94044	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"London"	"Age 0 to 4"	"number"	134327	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"London"	"Age 5 to 7"	"number"	65945	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"London"	"Age 8 to 9"	"number"	40360	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"London"	"Age 10 to 14"	"number"	104726	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"London"	"Age 15"	"number"	21354	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"London"	"Age 16 to 17"	"number"	43799	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"London"	"Age 18 to 19"	"number"	48912	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"London"	"Age 20 to 24"	"number"	179872	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"London"	"Age 25 to 29"	"number"	255087	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"London"	"Age 30 to 34"	"number"	233615	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"London"	"Age 35 to 39"	"number"	189826	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"London"	"Age 40 to 44"	"number"	177334	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"London"	"Age 45 to 49"	"number"	170920	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"London"	"Age 50 to 54"	"number"	146768	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"London"	"Age 55 to 59"	"number"	127240	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"London"	"Age 60 to 64"	"number"	130250	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"London"	"Age 65 to 69"	"number"	100152	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"London"	"Age 70 to 74"	"number"	84984	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"London"	"Age 75 to 79"	"number"	76465	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"London"	"Age 80 to 84"	"number"	65615	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"London"	"Age 85 and over"	"number"	75087	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South East"	"Age 0 to 4"	"number"	217963	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South East"	"Age 5 to 7"	"number"	124137	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South East"	"Age 8 to 9"	"number"	79208	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South East"	"Age 10 to 14"	"number"	218652	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South East"	"Age 15"	"number"	45735	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South East"	"Age 16 to 17"	"number"	93235	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South East"	"Age 18 to 19"	"number"	92872	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South East"	"Age 20 to 24"	"number"	230544	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South East"	"Age 25 to 29"	"number"	227641	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South East"	"Age 30 to 34"	"number"	231450	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South East"	"Age 35 to 39"	"number"	256551	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South East"	"Age 40 to 44"	"number"	295815	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South East"	"Age 45 to 49"	"number"	305172	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South East"	"Age 50 to 54"	"number"	266643	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South East"	"Age 55 to 59"	"number"	237169	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South East"	"Age 60 to 64"	"number"	263095	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South East"	"Age 65 to 69"	"number"	212198	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South East"	"Age 70 to 74"	"number"	173506	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South East"	"Age 75 to 79"	"number"	150476	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South East"	"Age 80 to 84"	"number"	125740	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South East"	"Age 85 and over"	"number"	145133	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South West"	"Age 0 to 4"	"number"	131769	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South West"	"Age 5 to 7"	"number"	74519	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South West"	"Age 8 to 9"	"number"	48094	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South West"	"Age 10 to 14"	"number"	135760	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South West"	"Age 15"	"number"	29028	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South West"	"Age 16 to 17"	"number"	59080	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South West"	"Age 18 to 19"	"number"	61443	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South West"	"Age 20 to 24"	"number"	151029	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South West"	"Age 25 to 29"	"number"	140823	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South West"	"Age 30 to 34"	"number"	136518	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South West"	"Age 35 to 39"	"number"	152669	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South West"	"Age 40 to 44"	"number"	181764	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South West"	"Age 45 to 49"	"number"	190407	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South West"	"Age 50 to 54"	"number"	172589	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South West"	"Age 55 to 59"	"number"	161694	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South West"	"Age 60 to 64"	"number"	182700	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South West"	"Age 65 to 69"	"number"	150696	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South West"	"Age 70 to 74"	"number"	121369	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South West"	"Age 75 to 79"	"number"	105136	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South West"	"Age 80 to 84"	"number"	88265	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"South West"	"Age 85 and over"	"number"	102893	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"Wales"	"Age 0 to 4"	"number"	79929	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"Wales"	"Age 5 to 7"	"number"	44995	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"Wales"	"Age 8 to 9"	"number"	28801	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"Wales"	"Age 10 to 14"	"number"	81764	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"Wales"	"Age 15"	"number"	16938	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"Wales"	"Age 16 to 17"	"number"	35627	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"Wales"	"Age 18 to 19"	"number"	39954	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"Wales"	"Age 20 to 24"	"number"	96153	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"Wales"	"Age 25 to 29"	"number"	85882	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"Wales"	"Age 30 to 34"	"number"	80960	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"Wales"	"Age 35 to 39"	"number"	87227	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"Wales"	"Age 40 to 44"	"number"	104177	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"Wales"	"Age 45 to 49"	"number"	108762	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"Wales"	"Age 50 to 54"	"number"	99935	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"Wales"	"Age 55 to 59"	"number"	93182	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"Wales"	"Age 60 to 64"	"number"	102663	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"Wales"	"Age 65 to 69"	"number"	83939	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"Wales"	"Age 70 to 74"	"number"	69307	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"Wales"	"Age 75 to 79"	"number"	58696	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"Wales"	"Age 80 to 84"	"number"	46023	""
"All usual residents"	"Persons"	"2011"	"Females"	"White: Total"	"Wales"	"Age 85 and over"	"number"	50487	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 0 to 4"	"number"	1849	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 5 to 7"	"number"	901	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 8 to 9"	"number"	472	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 10 to 14"	"number"	1170	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 15"	"number"	220	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 16 to 17"	"number"	391	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 18 to 19"	"number"	474	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 20 to 24"	"number"	1108	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 25 to 29"	"number"	837	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 30 to 34"	"number"	753	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 35 to 39"	"number"	605	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 40 to 44"	"number"	592	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 45 to 49"	"number"	482	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 50 to 54"	"number"	346	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 55 to 59"	"number"	229	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 60 to 64"	"number"	207	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 65 to 69"	"number"	122	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 70 to 74"	"number"	91	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 75 to 79"	"number"	98	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 80 to 84"	"number"	81	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North East"	"Age 85 and over"	"number"	47	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 0 to 4"	"number"	9413	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 5 to 7"	"number"	4544	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 8 to 9"	"number"	2423	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 10 to 14"	"number"	6098	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 15"	"number"	1251	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 16 to 17"	"number"	2345	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 18 to 19"	"number"	2406	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 20 to 24"	"number"	5545	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 25 to 29"	"number"	4403	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 30 to 34"	"number"	3578	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 35 to 39"	"number"	2959	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 40 to 44"	"number"	2961	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 45 to 49"	"number"	2490	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 50 to 54"	"number"	1594	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 55 to 59"	"number"	995	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 60 to 64"	"number"	793	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 65 to 69"	"number"	542	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 70 to 74"	"number"	360	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 75 to 79"	"number"	312	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 80 to 84"	"number"	232	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"North West"	"Age 85 and over"	"number"	186	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"Yorkshire and The Humber"	"Age 0 to 4"	"number"	7597	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"Yorkshire and The Humber"	"Age 5 to 7"	"number"	3588	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"Yorkshire and The Humber"	"Age 8 to 9"	"number"	2056	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"Yorkshire and The Humber"	"Age 10 to 14"	"number"	4799	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"Yorkshire and The Humber"	"Age 15"	"number"	854	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"Yorkshire and The Humber"	"Age 16 to 17"	"number"	1755	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"Yorkshire and The Humber"	"Age 18 to 19"	"number"	2093	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"Yorkshire and The Humber"	"Age 20 to 24"	"number"	4495	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"Yorkshire and The Humber"	"Age 25 to 29"	"number"	3242	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"Yorkshire and The Humber"	"Age 30 to 34"	"number"	2368	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"Yorkshire and The Humber"	"Age 35 to 39"	"number"	1998	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"Yorkshire and The Humber"	"Age 40 to 44"	"number"	2016	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"Yorkshire and The Humber"	"Age 45 to 49"	"number"	1774	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"Yorkshire and The Humber"	"Age 50 to 54"	"number"	1054	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"Yorkshire and The Humber"	"Age 55 to 59"	"number"	618	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"Yorkshire and The Humber"	"Age 60 to 64"	"number"	435	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"Yorkshire and The Humber"	"Age 65 to 69"	"number"	288	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"Yorkshire and The Humber"	"Age 70 to 74"	"number"	243	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"Yorkshire and The Humber"	"Age 75 to 79"	"number"	200	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"Yorkshire and The Humber"	"Age 80 to 84"	"number"	139	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"Yorkshire and The Humber"	"Age 85 and over"	"number"	128	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East Midlands"	"Age 0 to 4"	"number"	7361	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East Midlands"	"Age 5 to 7"	"number"	3638	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East Midlands"	"Age 8 to 9"	"number"	2089	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East Midlands"	"Age 10 to 14"	"number"	4951	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East Midlands"	"Age 15"	"number"	939	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East Midlands"	"Age 16 to 17"	"number"	2030	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East Midlands"	"Age 18 to 19"	"number"	2243	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East Midlands"	"Age 20 to 24"	"number"	4513	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East Midlands"	"Age 25 to 29"	"number"	3024	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East Midlands"	"Age 30 to 34"	"number"	2444	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East Midlands"	"Age 35 to 39"	"number"	2159	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East Midlands"	"Age 40 to 44"	"number"	1990	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East Midlands"	"Age 45 to 49"	"number"	1633	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East Midlands"	"Age 50 to 54"	"number"	1058	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East Midlands"	"Age 55 to 59"	"number"	622	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East Midlands"	"Age 60 to 64"	"number"	411	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East Midlands"	"Age 65 to 69"	"number"	355	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East Midlands"	"Age 70 to 74"	"number"	258	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East Midlands"	"Age 75 to 79"	"number"	194	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East Midlands"	"Age 80 to 84"	"number"	176	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East Midlands"	"Age 85 and over"	"number"	135	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"West Midlands"	"Age 0 to 4"	"number"	11967	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"West Midlands"	"Age 5 to 7"	"number"	5963	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"West Midlands"	"Age 8 to 9"	"number"	3314	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"West Midlands"	"Age 10 to 14"	"number"	8349	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"West Midlands"	"Age 15"	"number"	1677	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"West Midlands"	"Age 16 to 17"	"number"	3322	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"West Midlands"	"Age 18 to 19"	"number"	3254	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"West Midlands"	"Age 20 to 24"	"number"	6998	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"West Midlands"	"Age 25 to 29"	"number"	4856	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"West Midlands"	"Age 30 to 34"	"number"	3569	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"West Midlands"	"Age 35 to 39"	"number"	2920	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"West Midlands"	"Age 40 to 44"	"number"	2863	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"West Midlands"	"Age 45 to 49"	"number"	2471	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"West Midlands"	"Age 50 to 54"	"number"	1468	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"West Midlands"	"Age 55 to 59"	"number"	811	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"West Midlands"	"Age 60 to 64"	"number"	614	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"West Midlands"	"Age 65 to 69"	"number"	414	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"West Midlands"	"Age 70 to 74"	"number"	323	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"West Midlands"	"Age 75 to 79"	"number"	279	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"West Midlands"	"Age 80 to 84"	"number"	181	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"West Midlands"	"Age 85 and over"	"number"	185	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East"	"Age 0 to 4"	"number"	10424	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East"	"Age 5 to 7"	"number"	5041	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East"	"Age 8 to 9"	"number"	2815	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East"	"Age 10 to 14"	"number"	6939	""
"All usual residents"	"Persons"	"2011"	"Females"	"Mixed/multiple ethnic group: Total"	"East"	"Age 15"	"number"	1375	""
