"Population"	"Units"	"Date"	"Age"	"Ethnic Grou"	"region"	"Highest Level of Qualification"	"value type"	"value"	"flag"
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"White: Total"	"South West"	"No qualifications"	"number"	209545	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"White: Total"	"South West"	"Level 1 qualifications"	"number"	138472	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"White: Total"	"South West"	"Level 2 qualifications"	"number"	146945	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"White: Total"	"South West"	"Apprenticeship"	"number"	61208	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"White: Total"	"South West"	"Level 3 qualifications"	"number"	105188	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"White: Total"	"South West"	"Level 4 qualifications and above"	"number"	304650	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"White: Total"	"South West"	"Other qualifications"	"number"	46869	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"White: Total"	"Wales"	"No qualifications"	"number"	163250	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"White: Total"	"Wales"	"Level 1 qualifications"	"number"	72612	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"White: Total"	"Wales"	"Level 2 qualifications"	"number"	79835	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"White: Total"	"Wales"	"Apprenticeship"	"number"	34301	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"White: Total"	"Wales"	"Level 3 qualifications"	"number"	51814	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"White: Total"	"Wales"	"Level 4 qualifications and above"	"number"	151165	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"White: Total"	"Wales"	"Other qualifications"	"number"	28239	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"North East"	"No qualifications"	"number"	552	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"North East"	"Level 1 qualifications"	"number"	180	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"North East"	"Level 2 qualifications"	"number"	146	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"North East"	"Apprenticeship"	"number"	74	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"North East"	"Level 3 qualifications"	"number"	148	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"North East"	"Level 4 qualifications and above"	"number"	403	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"North East"	"Other qualifications"	"number"	104	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"North West"	"No qualifications"	"number"	2212	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"North West"	"Level 1 qualifications"	"number"	821	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"North West"	"Level 2 qualifications"	"number"	816	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"North West"	"Apprenticeship"	"number"	246	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"North West"	"Level 3 qualifications"	"number"	629	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"North West"	"Level 4 qualifications and above"	"number"	1679	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"North West"	"Other qualifications"	"number"	416	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"Yorkshire and The Humber"	"No qualifications"	"number"	1318	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"Yorkshire and The Humber"	"Level 1 qualifications"	"number"	491	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"Yorkshire and The Humber"	"Level 2 qualifications"	"number"	487	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"Yorkshire and The Humber"	"Apprenticeship"	"number"	151	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"Yorkshire and The Humber"	"Level 3 qualifications"	"number"	379	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"Yorkshire and The Humber"	"Level 4 qualifications and above"	"number"	1116	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"Yorkshire and The Humber"	"Other qualifications"	"number"	260	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"East Midlands"	"No qualifications"	"number"	1222	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"East Midlands"	"Level 1 qualifications"	"number"	528	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"East Midlands"	"Level 2 qualifications"	"number"	486	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"East Midlands"	"Apprenticeship"	"number"	157	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"East Midlands"	"Level 3 qualifications"	"number"	367	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"East Midlands"	"Level 4 qualifications and above"	"number"	1177	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"East Midlands"	"Other qualifications"	"number"	325	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"West Midlands"	"No qualifications"	"number"	1706	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"West Midlands"	"Level 1 qualifications"	"number"	709	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"West Midlands"	"Level 2 qualifications"	"number"	696	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"West Midlands"	"Apprenticeship"	"number"	172	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"West Midlands"	"Level 3 qualifications"	"number"	499	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"West Midlands"	"Level 4 qualifications and above"	"number"	1408	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"West Midlands"	"Other qualifications"	"number"	369	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"East"	"No qualifications"	"number"	1178	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"East"	"Level 1 qualifications"	"number"	776	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"East"	"Level 2 qualifications"	"number"	753	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"East"	"Apprenticeship"	"number"	208	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"East"	"Level 3 qualifications"	"number"	555	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"East"	"Level 4 qualifications and above"	"number"	1886	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"East"	"Other qualifications"	"number"	502	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"London"	"No qualifications"	"number"	4782	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"London"	"Level 1 qualifications"	"number"	2916	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"London"	"Level 2 qualifications"	"number"	2597	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"London"	"Apprenticeship"	"number"	425	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"London"	"Level 3 qualifications"	"number"	1890	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"London"	"Level 4 qualifications and above"	"number"	7009	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"London"	"Other qualifications"	"number"	2597	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"South East"	"No qualifications"	"number"	1596	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"South East"	"Level 1 qualifications"	"number"	1166	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"South East"	"Level 2 qualifications"	"number"	1294	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"South East"	"Apprenticeship"	"number"	304	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"South East"	"Level 3 qualifications"	"number"	933	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"South East"	"Level 4 qualifications and above"	"number"	3545	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"South East"	"Other qualifications"	"number"	822	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"South West"	"No qualifications"	"number"	995	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"South West"	"Level 1 qualifications"	"number"	553	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"South West"	"Level 2 qualifications"	"number"	577	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"South West"	"Apprenticeship"	"number"	138	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"South West"	"Level 3 qualifications"	"number"	435	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"South West"	"Level 4 qualifications and above"	"number"	1469	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"South West"	"Other qualifications"	"number"	336	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"Wales"	"No qualifications"	"number"	862	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"Wales"	"Level 1 qualifications"	"number"	286	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"Wales"	"Level 2 qualifications"	"number"	270	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"Wales"	"Apprenticeship"	"number"	102	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"Wales"	"Level 3 qualifications"	"number"	186	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"Wales"	"Level 4 qualifications and above"	"number"	689	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Mixed/multiple ethnic group"	"Wales"	"Other qualifications"	"number"	166	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"North East"	"No qualifications"	"number"	2526	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"North East"	"Level 1 qualifications"	"number"	520	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"North East"	"Level 2 qualifications"	"number"	367	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"North East"	"Apprenticeship"	"number"	70	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"North East"	"Level 3 qualifications"	"number"	246	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"North East"	"Level 4 qualifications and above"	"number"	1753	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"North East"	"Other qualifications"	"number"	1100	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"North West"	"No qualifications"	"number"	19711	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"North West"	"Level 1 qualifications"	"number"	3715	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"North West"	"Level 2 qualifications"	"number"	2430	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"North West"	"Apprenticeship"	"number"	441	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"North West"	"Level 3 qualifications"	"number"	1499	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"North West"	"Level 4 qualifications and above"	"number"	7818	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"North West"	"Other qualifications"	"number"	6992	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"Yorkshire and The Humber"	"No qualifications"	"number"	17897	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"Yorkshire and The Humber"	"Level 1 qualifications"	"number"	2848	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"Yorkshire and The Humber"	"Level 2 qualifications"	"number"	1751	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"Yorkshire and The Humber"	"Apprenticeship"	"number"	548	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"Yorkshire and The Humber"	"Level 3 qualifications"	"number"	1129	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"Yorkshire and The Humber"	"Level 4 qualifications and above"	"number"	5138	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"Yorkshire and The Humber"	"Other qualifications"	"number"	4994	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"East Midlands"	"No qualifications"	"number"	15574	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"East Midlands"	"Level 1 qualifications"	"number"	4807	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"East Midlands"	"Level 2 qualifications"	"number"	3187	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"East Midlands"	"Apprenticeship"	"number"	767	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"East Midlands"	"Level 3 qualifications"	"number"	1763	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"East Midlands"	"Level 4 qualifications and above"	"number"	7320	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"East Midlands"	"Other qualifications"	"number"	7329	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"West Midlands"	"No qualifications"	"number"	28565	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"West Midlands"	"Level 1 qualifications"	"number"	6286	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"West Midlands"	"Level 2 qualifications"	"number"	4118	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"West Midlands"	"Apprenticeship"	"number"	1095	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"West Midlands"	"Level 3 qualifications"	"number"	2560	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"West Midlands"	"Level 4 qualifications and above"	"number"	9974	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"West Midlands"	"Other qualifications"	"number"	10601	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"East"	"No qualifications"	"number"	8579	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"East"	"Level 1 qualifications"	"number"	2959	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"East"	"Level 2 qualifications"	"number"	2535	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"East"	"Apprenticeship"	"number"	341	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"East"	"Level 3 qualifications"	"number"	1614	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"East"	"Level 4 qualifications and above"	"number"	10652	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"East"	"Other qualifications"	"number"	5004	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"London"	"No qualifications"	"number"	49098	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"London"	"Level 1 qualifications"	"number"	20783	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"London"	"Level 2 qualifications"	"number"	16781	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"London"	"Apprenticeship"	"number"	1533	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"London"	"Level 3 qualifications"	"number"	10930	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"London"	"Level 4 qualifications and above"	"number"	53653	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"London"	"Other qualifications"	"number"	38586	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"South East"	"No qualifications"	"number"	12647	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"South East"	"Level 1 qualifications"	"number"	4895	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"South East"	"Level 2 qualifications"	"number"	4121	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"South East"	"Apprenticeship"	"number"	628	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"South East"	"Level 3 qualifications"	"number"	2836	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"South East"	"Level 4 qualifications and above"	"number"	16821	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"South East"	"Other qualifications"	"number"	9792	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"South West"	"No qualifications"	"number"	2580	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"South West"	"Level 1 qualifications"	"number"	1046	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"South West"	"Level 2 qualifications"	"number"	882	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"South West"	"Apprenticeship"	"number"	159	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"South West"	"Level 3 qualifications"	"number"	650	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"South West"	"Level 4 qualifications and above"	"number"	3693	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"South West"	"Other qualifications"	"number"	2121	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"Wales"	"No qualifications"	"number"	2202	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"Wales"	"Level 1 qualifications"	"number"	463	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"Wales"	"Level 2 qualifications"	"number"	453	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"Wales"	"Apprenticeship"	"number"	90	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"Wales"	"Level 3 qualifications"	"number"	265	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"Wales"	"Level 4 qualifications and above"	"number"	2164	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Asian/Asian British"	"Wales"	"Other qualifications"	"number"	1106	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"North East"	"No qualifications"	"number"	94	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"North East"	"Level 1 qualifications"	"number"	72	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"North East"	"Level 2 qualifications"	"number"	94	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"North East"	"Apprenticeship"	"number"	18	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"North East"	"Level 3 qualifications"	"number"	58	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"North East"	"Level 4 qualifications and above"	"number"	404	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"North East"	"Other qualifications"	"number"	61	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"North West"	"No qualifications"	"number"	1750	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"North West"	"Level 1 qualifications"	"number"	991	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"North West"	"Level 2 qualifications"	"number"	1061	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"North West"	"Apprenticeship"	"number"	213	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"North West"	"Level 3 qualifications"	"number"	676	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"North West"	"Level 4 qualifications and above"	"number"	3339	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"North West"	"Other qualifications"	"number"	725	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"No qualifications"	"number"	1455	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"Level 1 qualifications"	"number"	864	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"Level 2 qualifications"	"number"	879	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"Apprenticeship"	"number"	276	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"Level 3 qualifications"	"number"	601	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"Level 4 qualifications and above"	"number"	2629	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"Other qualifications"	"number"	589	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"East Midlands"	"No qualifications"	"number"	1676	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"East Midlands"	"Level 1 qualifications"	"number"	1065	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"East Midlands"	"Level 2 qualifications"	"number"	1116	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"East Midlands"	"Apprenticeship"	"number"	297	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"East Midlands"	"Level 3 qualifications"	"number"	782	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"East Midlands"	"Level 4 qualifications and above"	"number"	2746	""
