"Population"	"Units"	"Date"	"Sex"	"Highest Level of Qualificatio"	"region"	"Age"	"value type"	"value"	"flag"
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"Yorkshire and The Humber"	"Age 30 to 34"	"number"	19089	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"Yorkshire and The Humber"	"Age 35 to 39"	"number"	22544	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"Yorkshire and The Humber"	"Age 40 to 44"	"number"	28773	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"Yorkshire and The Humber"	"Age 45 to 49"	"number"	31588	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"Yorkshire and The Humber"	"Age 50 to 54"	"number"	38116	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"Yorkshire and The Humber"	"Age 55 to 59"	"number"	46517	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"Yorkshire and The Humber"	"Age 60 to 64"	"number"	67236	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"Yorkshire and The Humber"	"Age 65 and over"	"number"	314262	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"East Midlands"	"Age 16 to 18"	"number"	12785	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"East Midlands"	"Age 19 to 24"	"number"	14657	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"East Midlands"	"Age 25 to 29"	"number"	13679	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"East Midlands"	"Age 30 to 34"	"number"	13187	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"East Midlands"	"Age 35 to 39"	"number"	15395	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"East Midlands"	"Age 40 to 44"	"number"	19124	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"East Midlands"	"Age 45 to 49"	"number"	24107	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"East Midlands"	"Age 50 to 54"	"number"	30053	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"East Midlands"	"Age 55 to 59"	"number"	40394	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"East Midlands"	"Age 60 to 64"	"number"	58643	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"East Midlands"	"Age 65 and over"	"number"	273035	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"West Midlands"	"Age 16 to 18"	"number"	15554	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"West Midlands"	"Age 19 to 24"	"number"	20952	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"West Midlands"	"Age 25 to 29"	"number"	20723	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"West Midlands"	"Age 30 to 34"	"number"	20699	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"West Midlands"	"Age 35 to 39"	"number"	23946	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"West Midlands"	"Age 40 to 44"	"number"	29374	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"West Midlands"	"Age 45 to 49"	"number"	33403	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"West Midlands"	"Age 50 to 54"	"number"	38683	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"West Midlands"	"Age 55 to 59"	"number"	49827	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"West Midlands"	"Age 60 to 64"	"number"	69026	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"West Midlands"	"Age 65 and over"	"number"	341159	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"East"	"Age 16 to 18"	"number"	15622	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"East"	"Age 19 to 24"	"number"	15064	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"East"	"Age 25 to 29"	"number"	14419	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"East"	"Age 30 to 34"	"number"	13356	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"East"	"Age 35 to 39"	"number"	16127	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"East"	"Age 40 to 44"	"number"	20356	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"East"	"Age 45 to 49"	"number"	24443	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"East"	"Age 50 to 54"	"number"	31673	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"East"	"Age 55 to 59"	"number"	43793	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"East"	"Age 60 to 64"	"number"	68249	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"East"	"Age 65 and over"	"number"	338419	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"London"	"Age 16 to 18"	"number"	18895	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"London"	"Age 19 to 24"	"number"	23254	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"London"	"Age 25 to 29"	"number"	27895	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"London"	"Age 30 to 34"	"number"	29547	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"London"	"Age 35 to 39"	"number"	33803	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"London"	"Age 40 to 44"	"number"	38719	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"London"	"Age 45 to 49"	"number"	41387	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"London"	"Age 50 to 54"	"number"	43163	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"London"	"Age 55 to 59"	"number"	45514	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"London"	"Age 60 to 64"	"number"	55169	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"London"	"Age 65 and over"	"number"	279915	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"South East"	"Age 16 to 18"	"number"	21501	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"South East"	"Age 19 to 24"	"number"	19156	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"South East"	"Age 25 to 29"	"number"	18266	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"South East"	"Age 30 to 34"	"number"	17102	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"South East"	"Age 35 to 39"	"number"	19746	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"South East"	"Age 40 to 44"	"number"	24681	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"South East"	"Age 45 to 49"	"number"	30158	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"South East"	"Age 50 to 54"	"number"	38984	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"South East"	"Age 55 to 59"	"number"	52610	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"South East"	"Age 60 to 64"	"number"	80766	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"South East"	"Age 65 and over"	"number"	438742	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"South West"	"Age 16 to 18"	"number"	13925	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"South West"	"Age 19 to 24"	"number"	12017	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"South West"	"Age 25 to 29"	"number"	10674	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"South West"	"Age 30 to 34"	"number"	9637	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"South West"	"Age 35 to 39"	"number"	11435	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"South West"	"Age 40 to 44"	"number"	14750	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"South West"	"Age 45 to 49"	"number"	19216	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"South West"	"Age 50 to 54"	"number"	25664	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"South West"	"Age 55 to 59"	"number"	35556	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"South West"	"Age 60 to 64"	"number"	56138	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"South West"	"Age 65 and over"	"number"	308508	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"Wales"	"Age 16 to 18"	"number"	9366	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"Wales"	"Age 19 to 24"	"number"	10615	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"Wales"	"Age 25 to 29"	"number"	9346	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"Wales"	"Age 30 to 34"	"number"	9436	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"Wales"	"Age 35 to 39"	"number"	11147	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"Wales"	"Age 40 to 44"	"number"	15295	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"Wales"	"Age 45 to 49"	"number"	19394	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"Wales"	"Age 50 to 54"	"number"	22950	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"Wales"	"Age 55 to 59"	"number"	27222	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"Wales"	"Age 60 to 64"	"number"	38905	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"No qualifications"	"Wales"	"Age 65 and over"	"number"	184732	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"North East"	"Age 16 to 18"	"number"	11231	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"North East"	"Age 19 to 24"	"number"	15290	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"North East"	"Age 25 to 29"	"number"	10902	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"North East"	"Age 30 to 34"	"number"	9372	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"North East"	"Age 35 to 39"	"number"	13026	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"North East"	"Age 40 to 44"	"number"	20265	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"North East"	"Age 45 to 49"	"number"	22529	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"North East"	"Age 50 to 54"	"number"	18195	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"North East"	"Age 55 to 59"	"number"	11357	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"North East"	"Age 60 to 64"	"number"	10128	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"North East"	"Age 65 and over"	"number"	13853	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"North West"	"Age 16 to 18"	"number"	29010	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"North West"	"Age 19 to 24"	"number"	39140	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"North West"	"Age 25 to 29"	"number"	28602	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"North West"	"Age 30 to 34"	"number"	25494	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"North West"	"Age 35 to 39"	"number"	34552	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"North West"	"Age 40 to 44"	"number"	51305	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"North West"	"Age 45 to 49"	"number"	55129	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"North West"	"Age 50 to 54"	"number"	43645	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"North West"	"Age 55 to 59"	"number"	29280	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"North West"	"Age 60 to 64"	"number"	28680	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"North West"	"Age 65 and over"	"number"	43865	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"Yorkshire and The Humber"	"Age 16 to 18"	"number"	22244	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"Yorkshire and The Humber"	"Age 19 to 24"	"number"	30311	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"Yorkshire and The Humber"	"Age 25 to 29"	"number"	22837	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"Yorkshire and The Humber"	"Age 30 to 34"	"number"	19815	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"Yorkshire and The Humber"	"Age 35 to 39"	"number"	27289	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"Yorkshire and The Humber"	"Age 40 to 44"	"number"	39802	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"Yorkshire and The Humber"	"Age 45 to 49"	"number"	40720	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"Yorkshire and The Humber"	"Age 50 to 54"	"number"	32292	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"Yorkshire and The Humber"	"Age 55 to 59"	"number"	20673	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"Yorkshire and The Humber"	"Age 60 to 64"	"number"	19487	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"Yorkshire and The Humber"	"Age 65 and over"	"number"	29466	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"East Midlands"	"Age 16 to 18"	"number"	19380	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"East Midlands"	"Age 19 to 24"	"number"	24281	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"East Midlands"	"Age 25 to 29"	"number"	17139	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"East Midlands"	"Age 30 to 34"	"number"	15884	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"East Midlands"	"Age 35 to 39"	"number"	23534	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"East Midlands"	"Age 40 to 44"	"number"	37008	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"East Midlands"	"Age 45 to 49"	"number"	37713	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"East Midlands"	"Age 50 to 54"	"number"	29055	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"East Midlands"	"Age 55 to 59"	"number"	19100	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"East Midlands"	"Age 60 to 64"	"number"	18348	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"East Midlands"	"Age 65 and over"	"number"	26940	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"West Midlands"	"Age 16 to 18"	"number"	25745	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"West Midlands"	"Age 19 to 24"	"number"	30845	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"West Midlands"	"Age 25 to 29"	"number"	23014	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"West Midlands"	"Age 30 to 34"	"number"	20405	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"West Midlands"	"Age 35 to 39"	"number"	27662	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"West Midlands"	"Age 40 to 44"	"number"	41128	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"West Midlands"	"Age 45 to 49"	"number"	40992	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"West Midlands"	"Age 50 to 54"	"number"	31738	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"West Midlands"	"Age 55 to 59"	"number"	21979	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"West Midlands"	"Age 60 to 64"	"number"	20853	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"West Midlands"	"Age 65 and over"	"number"	31275	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"East"	"Age 16 to 18"	"number"	24592	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"East"	"Age 19 to 24"	"number"	30614	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"East"	"Age 25 to 29"	"number"	23657	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"East"	"Age 30 to 34"	"number"	22595	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"East"	"Age 35 to 39"	"number"	33300	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"East"	"Age 40 to 44"	"number"	49857	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"East"	"Age 45 to 49"	"number"	50501	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"East"	"Age 50 to 54"	"number"	39759	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"East"	"Age 55 to 59"	"number"	28105	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"East"	"Age 60 to 64"	"number"	26977	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"East"	"Age 65 and over"	"number"	40393	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"London"	"Age 16 to 18"	"number"	31672	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"London"	"Age 19 to 24"	"number"	37622	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"London"	"Age 25 to 29"	"number"	31282	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"London"	"Age 30 to 34"	"number"	29430	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"London"	"Age 35 to 39"	"number"	33529	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"London"	"Age 40 to 44"	"number"	44619	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"London"	"Age 45 to 49"	"number"	45304	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"London"	"Age 50 to 54"	"number"	36125	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"London"	"Age 55 to 59"	"number"	25667	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"London"	"Age 60 to 64"	"number"	20470	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"London"	"Age 65 and over"	"number"	32253	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"South East"	"Age 16 to 18"	"number"	34621	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"South East"	"Age 19 to 24"	"number"	41994	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"South East"	"Age 25 to 29"	"number"	31838	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"South East"	"Age 30 to 34"	"number"	29436	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"South East"	"Age 35 to 39"	"number"	42324	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"South East"	"Age 40 to 44"	"number"	64851	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"South East"	"Age 45 to 49"	"number"	67314	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"South East"	"Age 50 to 54"	"number"	53245	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"South East"	"Age 55 to 59"	"number"	38118	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"South East"	"Age 60 to 64"	"number"	38866	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"South East"	"Age 65 and over"	"number"	62422	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"South West"	"Age 16 to 18"	"number"	20813	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"South West"	"Age 19 to 24"	"number"	25954	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"South West"	"Age 25 to 29"	"number"	18023	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"South West"	"Age 30 to 34"	"number"	16299	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"South West"	"Age 35 to 39"	"number"	24738	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"South West"	"Age 40 to 44"	"number"	39110	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"South West"	"Age 45 to 49"	"number"	41187	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"South West"	"Age 50 to 54"	"number"	33374	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"South West"	"Age 55 to 59"	"number"	24779	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"South West"	"Age 60 to 64"	"number"	25471	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"South West"	"Age 65 and over"	"number"	42594	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"Wales"	"Age 16 to 18"	"number"	13629	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"Wales"	"Age 19 to 24"	"number"	17973	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"Wales"	"Age 25 to 29"	"number"	12189	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"Wales"	"Age 30 to 34"	"number"	10294	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"Wales"	"Age 35 to 39"	"number"	13782	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"Wales"	"Age 40 to 44"	"number"	21306	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"Wales"	"Age 45 to 49"	"number"	21781	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"Wales"	"Age 50 to 54"	"number"	17690	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"Wales"	"Age 55 to 59"	"number"	13403	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"Wales"	"Age 60 to 64"	"number"	13134	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 1 qualifications"	"Wales"	"Age 65 and over"	"number"	21108	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 2 qualifications"	"North East"	"Age 16 to 18"	"number"	20308	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 2 qualifications"	"North East"	"Age 19 to 24"	"number"	22257	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 2 qualifications"	"North East"	"Age 25 to 29"	"number"	15989	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 2 qualifications"	"North East"	"Age 30 to 34"	"number"	14062	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 2 qualifications"	"North East"	"Age 35 to 39"	"number"	15915	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 2 qualifications"	"North East"	"Age 40 to 44"	"number"	19745	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 2 qualifications"	"North East"	"Age 45 to 49"	"number"	20751	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 2 qualifications"	"North East"	"Age 50 to 54"	"number"	17267	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 2 qualifications"	"North East"	"Age 55 to 59"	"number"	12937	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 2 qualifications"	"North East"	"Age 60 to 64"	"number"	11112	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Females"	"Level 2 qualifications"	"North East"	"Age 65 and over"	"number"	17920	""
